Country Name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Estonia,70.853,68.054,67.114,67.412,66.533,66.624,66.438,66.246,64.901,65.577,65.149,63.922,65.758,67.193,67.609,69.433,68.814,70.326,70.639,71.121,71.511,71.433,71.864,71.385,72.966,73.135,75.014,75.518,75.686,76.137,76.737,79.532
Ethiopia,67.808,67.754,67.764,67.752,68.588,69.412,70.234,71.049,71.849,72.635,73.409,74.168,74.916,75.655,76.385,76.38,76.375,76.375,76.381,76.392,76.406,76.422,76.439,76.527,76.619,76.702,76.788,76.873,76.964,76.245,77.004,77.071
European Union,56.7067460647121,56.6426915265836,56.58712791341,56.8705253921213,56.9333286778005,57.2252633102919,57.5270942294598,57.9982051795284,58.7105583347543,59.2596620427704,59.3888646084179,59.7088181540352,60.3957881824145,60.8208932652269,61.5167437764623,62.1849783861065,62.60391345381,63.1316111890615,63.6104897145127,63.9694561947815,64.3544681211303,65.1609417659143,65.6583097562206,66.1548159136361,66.4092422808638,67.0349210362906,67.5485105647172,67.9025723292009,68.4026764153823,67.6692277013521,68.8269340935163,69.8205370282691
Fragile and conflict affected situations,57.8217198843266,57.6719224091414,57.3943434941729,57.2019486299536,57.2456360048127,57.1632891775184,57.0241992591732,56.9185244255008,56.805860482709,56.6756593989199,56.5286319760299,56.3011981280068,56.0350039977403,55.8919078204247,55.7864987703498,55.4329965436818,55.1386627868167,54.7557260058508,54.3721226772232,54.0033132447164,53.8424793353568,53.4766627718406,53.3420536769717,53.2015029616397,53.1323021271944,52.9312206290243,52.488832107059,52.2667521660398,51.75107874285,50.8249802120369,50.7622687392497,49.859033569459
Finland,71.971,70.556,69.772,69.023,69.1,69.121,69.806,69.973,71.412,71.461,72.243,72.652,72.383,72.356,72.802,73.26,73.835,73.937,73.496,72.498,72.639,73.384,73.412,73.884,74.42,74.053,74.915,76.256,76.564,76.489,77.239,78.909
Fiji,40.505,40.401,40.382,40.309,40.282,40.22,39.84,39.465,39.094,38.725,38.358,37.992,37.627,37.267,36.08,37.867,39.67,41.494,43.334,45.178,47.025,45.935,44.823,43.685,42.079,40.481,40.56,40.656,40.747,39.418,39.421,41.177
France,58.694,59.442,60.181,60.643,61.154,61.827,61.63,62.178,62.764,63.082,62.878,63.19,64.847,64.652,64.919,65.005,65.39,65.695,66.332,66.449,66.409,67.101,67.832,68.113,68.482,68.788,68.671,69.229,69.303,68.703,71.073,71.757
Gabon,40.888,40.79,40.728,40.683,40.655,40.626,40.621,40.626,40.608,40.622,40.661,40.703,40.756,40.803,40.848,40.933,41.025,41.083,41.134,41.181,41.252,41.313,41.357,41.386,41.412,41.317,41.237,41.175,41.138,38.614,39.296,41.104
United Kingdom,66.577,66.64,66.765,66.857,66.793,67.332,67.735,67.641,67.949,68.397,68.278,68.738,68.543,68.873,69.304,69.779,69.475,69.799,69.912,69.769,70.103,70.634,71.269,71.69,72.093,72.639,73.297,73.694,74.2,74.492,74.417,74.228
Georgia,60.134,60.656,61.237,61.873,61.568,60.847,60.246,60.043,61.689,57.727,61.069,59.292,61.089,60.333,59.287,57.295,59.14,58.846,59.878,61.756,62.097,62.722,62.091,63.098,65.021,63.624,62.723,61.934,60.537,60.895,61.811,60.866
